ssn,name,union_no,addr,phone,salary,job_title,exam_date,expertise,certifications
877-17-7298,Wayne Montgomery,UAW0172,606 Los Carneros Way,334-114-6443,64000,Traffic Controller,2003-06-21,,
419-18-4633,Lisa Hays,UAW0173,323 El Roblar St,801-557-9347,83000,Technician,,Boeing-747 Airbus-A320 Boeing-787 Airbus-A330 Boeing-737,
029-36-8655,Rachel Davila,UAW0174,324 W Los Olivos St,704-040-1546,145000,Pilot,,,Boeing-777:2017-01-20 Airbus-A350:2018-06-01 Airbus-A330:2019-07-08 Boeing-767:2018-01-13 Boeing-737:2018-04-18 Airbus-A380:2020-09-22
951-38-0306,Jose Gardner,UAW0175,446 Val Verde,375-924-0688,76000,Pilot,,,Boeing-767:2020-04-15 Airbus-A350:2017-05-06 Boeing-787:2019-09-15 Boeing-737:2019-12-17 Airbus-A330:2019-08-13
891-31-2405,Keith Friedman,UAW0176,270 Arlington Ave,612-793-1480,81000,Traffic Controller,2003-02-12,,
375-15-1014,Beverly Santana,UAW0177,831 Las Rosas Ln,793-301-9875,62000,Traffic Controller,2012-11-25,,
318-42-3147,Katherine Stein,UAW0178,883 Via Lato,175-579-3960,129000,Pilot,,,Airbus-A330:2017-02-10 Boeing-767:2019-08-11 Boeing-777:2019-06-28 Airbus-A380:2018-04-14 Airbus-A300:2020-02-10 Airbus-A350:2020-04-21 Boeing-747:2017-08-06 Boeing-737:2017-01-21
578-80-8297,Mark Jordan,UAW0179,142 Mandarin Dr,382-033-1694,137000,Technician,,Airbus-A350,
104-48-5948,Angela Humphrey,UAW0180,348 San Clemente Ave,343-382-9102,100000,Traffic Controller,2014-03-20,,
457-70-4284,David Fox,UAW0181,981 W Prune Ave,964-099-0917,46000,Traffic Controller,2015-01-08,,
259-40-7962,Rebecca Franklin,UAW0182,265 Carob St,228-672-7576,87000,Pilot,,,Airbus-A320:2018-09-01
612-18-2171,Jeffrey Montoya,UAW0183,707 Sonoma Ave,887-356-9305,73000,Traffic Controller,2005-08-09,,
583-32-3128,Bruce Blackwell,UAW0184,949 Estriga Ct,219-731-5347,150000,Pilot,,,Boeing-787:2017-07-04 Airbus-A320:2017-09-10 Airbus-A330:2017-02-26 Boeing-747:2018-12-28 Boeing-767:2017-02-28
380-27-2055,Patricia Monroe,UAW0185,682 Newton Rd,884-508-3833,136000,Pilot,,,Airbus-A350:2017-05-08 Boeing-787:2017-01-03 Boeing-767:2018-12-17 Airbus-A380:2020-09-27 Airbus-A320:2019-07-24 Boeing-777:2018-09-15 Airbus-A330:2018-09-28 Airbus-A300:2020-12-20 Boeing-747:2019-06-23
346-89-6029,Philip Davila,UAW0186,769 La Casa Grande Cir,291-957-4602,54000,Technician,,Airbus-A320 Airbus-A380 Airbus-A300,
865-16-8158,Christine Lozano,UAW0187,600 Verde Mar Dr,617-630-6678,68000,Pilot,,,Boeing-777:2019-05-11 Airbus-A320:2019-09-05 Boeing-767:2017-07-23 Airbus-A330:2020-08-18 Boeing-787:2019-03-18 Airbus-A380:2017-08-02 Airbus-A300:2020-12-28 Boeing-747:2018-12-13
424-71-6907,Alice Sims,UAW0188,350 Pescadero Dr,657-053-8450,126000,Technician,,Airbus-A320 Airbus-A330 Boeing-737,
105-71-4080,Jeffrey Marks,UAW0189,829 Park Hill Ln,775-713-2569,129000,Pilot,,,Airbus-A350:2018-07-04 Airbus-A330:2017-06-11 Airbus-A380:2017-09-27 Boeing-767:2018-12-04
100-77-3080,Johnny Gordon,UAW0190,578 Las Gaviotas,711-756-1073,87000,Technician,,Airbus-A350 Airbus-A300,
363-33-5748,Michelle Burke,UAW0191,452 Newton Rd,514-725-7364,97000,Technician,,Boeing-767 Boeing-777 Airbus-A350 Boeing-747,
503-95-3373,Rebecca Blake,UAW0192,328 W Savona Ln,114-338-3269,105000,Traffic Controller,2016-07-12,,
577-06-6389,Alice Vega,UAW0193,123 Richelle Ln,871-163-0172,72000,Traffic Controller,2010-09-12,,
418-12-3243,Arthur Rhodes,UAW0194,776 Indian Hills Rd,683-810-3084,74000,Traffic Controller,2004-04-08,,
530-20-2313,Philip Prince,UAW0195,264 Castilian Dr,582-979-8521,77000,Traffic Controller,2004-06-20,,
307-18-4553,Mark Cowan,UAW0196,481 Oregon Ave,613-861-6223,113000,Pilot,,,Boeing-777:2020-12-08 Boeing-787:2019-04-27 Airbus-A320:2018-08-23 Airbus-A330:2019-08-15
511-53-0975,Nancy Downs,UAW0197,996 Santa Susana Pl,733-932-9197,99000,Pilot,,,Airbus-A330:2020-01-11 Boeing-777:2019-10-08 Airbus-A350:2018-07-06
271-05-6078,Richard Mitchell,UAW0198,884 Ventana Ct,562-349-8831,132000,Traffic Controller,2002-11-27,,
605-79-0530,Kevin Bright,UAW0199,681 Europa Ave,878-074-6459,105000,Pilot,,,Boeing-737:2020-02-12 Airbus-A330:2018-05-22 Boeing-767:2017-11-07 Airbus-A300:2020-08-02
997-27-3123,Harold Boyer,UAW0200,811 Honor Farm Rd,289-398-8361,115000,Technician,,Boeing-737 Airbus-A300,
411-81-3472,Carl Dorsey,UAW0201,294 Alameda Ave,419-863-3163,81000,Technician,,Airbus-A330,
886-90-2963,Christine Wilkerson,UAW0202,632 Paradise Ln - Los Padres National Forest,519-802-9397,60000,Technician,,Boeing-737 Boeing-747 Airbus-A330 Airbus-A350,
433-31-8072,Cynthia Mccullough,UAW0203,417 Mandeville Ct,675-033-2381,46000,Pilot,,,Boeing-777:2017-06-26 Airbus-A330:2017-04-07 Airbus-A320:2020-11-21 Boeing-737:2017-03-06 Boeing-767:2017-09-21 Airbus-A380:2018-05-08
592-57-4255,Kevin Werner,UAW0204,225 Las Positas Rd,031-392-0276,77000,Technician,,Boeing-777 Boeing-767 Airbus-A300 Airbus-A380,
505-86-8115,Ruth Jennings,UAW0205,990 Grapevine Rd,364-335-9377,121000,Traffic Controller,2010-12-26,,
765-32-2495,William Farrell,UAW0206,911 Via Esmeralda,086-937-7487,53000,Traffic Controller,2008-05-25,,
572-48-0147,Danielle Hatfield,UAW0207,679 Price Ranch Rd,724-378-4769,121000,Technician,,Airbus-A320 Airbus-A330 Boeing-747 Boeing-777 Airbus-A380,
924-19-2594,Stephen Meyers,UAW0208,414 Telephone Rd,300-373-2848,81000,Traffic Controller,2008-09-21,,
124-50-7920,Bobby Wright,UAW0209,837 N La Cumbre Rd,820-044-9059,135000,Pilot,,,Airbus-A300:2020-12-19 Airbus-A330:2018-04-14 Boeing-747:2020-10-02 Boeing-787:2017-08-07 Airbus-A350:2018-05-18 Boeing-777:2018-11-15 Airbus-A320:2017-11-14
260-71-5873,Laura Parrish,UAW0210,439 Ticino St,265-498-2105,89000,Traffic Controller,2006-04-15,,
230-67-1711,Ralph Waller,UAW0211,358 E Constance Ave,338-487-6153,64000,Pilot,,,Boeing-737:2017-06-01 Airbus-A320:2019-09-18 Airbus-A350:2020-11-14 Boeing-767:2020-12-17 Boeing-787:2020-01-01 Airbus-A380:2020-02-12 Airbus-A330:2017-12-02
973-47-0651,Edward Anderson,UAW0212,487 San Marcos Pass Rd,134-494-2052,51000,Traffic Controller,2005-04-11,,
506-01-4159,Gregory Combs,UAW0213,543 Tethys Rd,327-894-4858,46000,Technician,,Airbus-A350 Boeing-767 Boeing-777 Boeing-747,
678-22-4836,Anna Manning,UAW0214,766 Via Sabroso,691-818-8702,112000,Traffic Controller,2009-01-18,,
491-61-7907,Kathleen Olsen,UAW0215,753 Daniel Dr,535-774-7532,107000,Pilot,,,Airbus-A330:2017-03-08 Airbus-A380:2017-06-01 Airbus-A300:2020-12-18 Boeing-747:2017-03-12 Boeing-767:2020-05-18 Boeing-737:2019-03-22 Airbus-A320:2018-02-15
473-26-9770,Kathryn Jimenez,UAW0216,421 El Sueno Rd,923-135-7159,103000,Traffic Controller,2007-03-04,,
860-26-7906,Martha Lamb,UAW0217,848 Windsor Ave,950-688-5140,117000,Traffic Controller,2015-09-26,,
919-85-3331,Beverly Thompson,UAW0218,796 La Mesa Plaza,088-541-5119,136000,Pilot,,,Airbus-A380:2020-12-13 Boeing-777:2019-08-03 Boeing-737:2018-11-05 Airbus-A350:2018-05-07 Airbus-A320:2017-07-26
578-91-1237,Henry Ashley,UAW0219,119 W Padre St,122-153-2639,121000,Pilot,,,Boeing-777:2018-03-16 Boeing-737:2017-11-05 Airbus-A330:2018-10-20 Airbus-A380:2018-03-04 Boeing-767:2019-05-28 Airbus-A300:2020-09-18 Boeing-747:2020-05-15
316-00-0978,Eugene Mcdonald,UAW0220,797 Potrero Ln - Los Padres National Forest,917-185-2701,110000,Pilot,,,Boeing-787:2017-07-25 Boeing-777:2020-09-20 Airbus-A330:2017-02-26 Airbus-A300:2020-01-22 Airbus-A320:2018-06-03
570-03-8833,Brandon Gallegos,UAW0221,617 Via Gennita,422-670-7406,77000,Pilot,,,Airbus-A330:2020-09-07 Boeing-787:2018-04-02 Airbus-A350:2020-11-18 Boeing-767:2019-06-13 Airbus-A380:2019-02-06 Airbus-A300:2017-07-06 Boeing-777:2018-05-13
280-12-5199,Nancy Andrews,UAW0222,440 Loma St,213-361-1916,149000,Technician,,Boeing-737 Airbus-A330,
286-35-8280,Lisa Monroe,UAW0223,349 Amador Ave,394-942-3929,58000,Traffic Controller,2009-11-16,,
217-77-5292,Laura Crosby,UAW0224,815 Rincon Vista Rd,892-019-1965,145000,Technician,,Airbus-A330 Airbus-A380 Boeing-767 Airbus-A320,
974-54-9911,Helen Bauer,UAW0225,849 Kim Sue Ln,737-530-3915,146000,Pilot,,,Airbus-A330:2018-12-18 Airbus-A320:2018-03-26 Airbus-A380:2019-10-12 Airbus-A350:2019-05-08 Airbus-A300:2018-08-11 Boeing-747:2017-02-28 Boeing-777:2020-01-01
872-81-0834,Denise Tran,UAW0226,644 Via Parte,308-511-4579,101000,Pilot,,,Boeing-777:2019-05-04 Boeing-767:2018-01-11 Airbus-A300:2020-12-01 Boeing-737:2018-11-05 Boeing-787:2019-10-14 Airbus-A350:2019-04-03 Airbus-A320:2018-08-07
432-28-1100,Richard Mcneil,UAW0227,475 I St,534-583-9996,61000,Technician,,Airbus-A320,
214-81-0179,Julie Hull,UAW0228,234 N La Cumbre Rd,257-137-2984,104000,Technician,,Airbus-A380 Boeing-767,
118-62-8123,Catherine Burnett,UAW0229,191 El Sueno Rd,541-847-3092,107000,Pilot,,,Airbus-A320:2020-09-14 Boeing-767:2018-04-27 Airbus-A380:2020-07-14
322-31-1284,Frank Conley,UAW0230,492 Hardinge Ave,275-933-5014,90000,Traffic Controller,2012-12-11,,
921-77-7536,Willie Conner,UAW0231,681 Stacy Ann Terrace,442-113-4273,110000,Traffic Controller,2003-08-12,,
644-26-1154,Michael Boyd,UAW0232,934 Paden St,231-278-2925,58000,Pilot,,,Boeing-747:2020-02-15 Boeing-777:2018-04-04 Boeing-737:2020-08-13 Airbus-A320:2020-06-14 Boeing-787:2018-09-17
281-30-0197,Aaron Solis,UAW0233,216 Valley View Rd - Los Padres National Forest,205-919-4589,138000,Technician,,Boeing-787 Boeing-777 Airbus-A380,
955-15-5710,Judith Meyer,UAW0234,520 Camellia Ct,373-364-6450,87000,Pilot,,,Airbus-A330:2019-04-03 Airbus-A300:2017-01-15 Boeing-777:2018-06-12
707-06-5435,Christian Castaneda,UAW0235,313 Longdrive Ln,880-682-6626,103000,Pilot,,,Airbus-A380:2019-12-21 Airbus-A330:2018-02-25
686-95-3347,Heather Hamilton,UAW0236,565 Cecelia Dr,585-153-6791,148000,Traffic Controller,2000-02-03,,
244-57-5376,Mary Braun,UAW0237,676 Sandy Ln,257-125-0736,74000,Pilot,,,Airbus-A320:2020-04-09 Boeing-737:2017-09-20 Boeing-767:2020-12-16 Airbus-A300:2020-12-04 Airbus-A380:2017-12-23 Boeing-777:2018-07-01 Airbus-A330:2018-11-05
811-19-1292,Catherine Mckay,UAW0238,888 Fiesta Way,791-287-2134,124000,Pilot,,,Boeing-747:2019-08-02 Airbus-A350:2017-02-03 Airbus-A300:2017-09-06
199-94-3997,Ethan Bond,UAW0239,531 Prescott Ln,899-228-7030,56000,Technician,,Boeing-747 Airbus-A380 Boeing-787 Boeing-737,
779-42-3258,Jean Nash,UAW0240,442 Oak View Dr,936-396-9343,132000,Traffic Controller,2013-05-15,,
339-83-7072,Jennifer Roth,UAW0241,757 Eileen Ln,514-645-4237,150000,Pilot,,,Airbus-A300:2017-07-17 Airbus-A320:2019-03-09 Boeing-767:2018-01-19 Boeing-777:2019-12-13 Airbus-A380:2018-03-08 Boeing-787:2017-11-06 Airbus-A330:2020-09-08
141-53-5133,Timothy Miller,UAW0242,964 San Diego Rd,582-856-2935,119000,Traffic Controller,2000-11-04,,
278-28-3161,Julia Moss,UAW0243,494 Via Rubio,945-317-5262,90000,Pilot,,,Airbus-A320:2018-09-23 Boeing-787:2017-11-03 Airbus-A350:2017-02-08 Boeing-767:2017-03-26 Airbus-A300:2019-08-23 Boeing-777:2017-12-17 Airbus-A330:2017-01-04 Boeing-737:2017-09-03
587-21-9683,Christopher Mckinney,UAW0244,745 Rubel Way,718-161-2138,99000,Traffic Controller,2011-12-02,,
512-20-8200,Wayne Chase,UAW0245,866 Marilyn Way,391-466-0504,114000,Pilot,,,Airbus-A380:2017-05-25 Boeing-777:2017-10-22 Airbus-A350:2017-09-14 Boeing-737:2017-01-10 Boeing-747:2020-02-26 Boeing-787:2019-10-25 Boeing-767:2018-12-19 Airbus-A320:2018-10-09
487-33-1302,Dorothy Valencia,UAW0246,766 El Rancho Arbolado,812-486-8647,84000,Technician,,Boeing-787 Airbus-A300,
136-44-7802,Emma Gillespie,UAW0247,104 Perkins St,497-725-1193,70000,Pilot,,,Boeing-747:2017-05-18 Boeing-767:2018-01-08 Airbus-A380:2020-08-19 Airbus-A330:2019-06-07 Airbus-A320:2019-02-12 Boeing-777:2018-01-25 Boeing-737:2017-02-14
446-87-7353,Helen Weeks,UAW0248,682 Madrona Walk - University Of California Santa Barbara,515-350-1445,96000,Technician,,Airbus-A300 Boeing-787 Airbus-A350 Airbus-A320,
363-37-4199,Scott Moses,UAW0249,749 Kimball St,260-450-8624,146000,Traffic Controller,2012-02-25,,
364-78-7137,Evelyn Conway,UAW0250,749 Kinman Ave,720-961-8123,71000,Pilot,,,Airbus-A300:2017-12-16 Boeing-787:2018-03-14
848-18-0068,Barbara Pratt,UAW0251,898 Duke Dr,818-297-2807,111000,Traffic Controller,2016-02-21,,
109-52-0910,Ryan Glass,UAW0252,793 Las Canoas Pl,936-473-2396,134000,Traffic Controller,2003-06-04,,
918-01-7259,Cheryl Frazier,UAW0253,282 Moffett Pl - Santa Barbara Municipal Airport (sba),886-141-4444,83000,Technician,,Airbus-A380,
689-97-7002,Mark Shah,UAW0254,344 E Mission St,384-342-6604,74000,Traffic Controller,2016-03-19,,
861-61-9281,Kelly James,UAW0255,991 Nectarine Ave,014-907-4174,105000,Technician,,Airbus-A380 Airbus-A330,
457-25-5412,Deborah Carson,UAW0256,100 Bonita St,015-928-5723,135000,Technician,,Boeing-787 Boeing-747,
555-75-7288,Tyler Murphy,UAW0257,751 Library Ave,172-118-2739,98000,Pilot,,,Airbus-A380:2020-01-21 Boeing-777:2020-02-18
497-48-3298,Emma Mejia,UAW0258,702 Ocean Ave,340-013-7879,146000,Technician,,Airbus-A300 Airbus-A320,
423-08-2438,Kathryn Hawkins,UAW0259,928 Miramar Ln,708-565-2556,146000,Technician,,Boeing-737 Airbus-A300 Boeing-767 Airbus-A350,
058-76-8647,George Lee,UAW0260,693 Greenworth Pl,018-722-0946,95000,Technician,,Boeing-787 Boeing-737,
324-43-8029,Paul Williams,UAW0261,514 Los Carneros Way,098-512-6465,116000,Traffic Controller,2001-06-02,,
117-00-3700,Dylan Stone,UAW0262,901 Chatham Way,616-311-0898,90000,Technician,,Airbus-A380 Boeing-747 Boeing-787,
973-22-9305,Dennis Aguilar,UAW0263,148 W Valerio St,291-290-2291,86000,Traffic Controller,2010-02-24,,
911-61-7680,Brandon Levy,UAW0264,253 Christopher Ln,713-456-5549,150000,Pilot,,,Airbus-A320:2018-12-14 Boeing-777:2020-07-06 Boeing-737:2020-03-25 Boeing-767:2020-03-03 Airbus-A300:2020-01-03
166-97-9909,Helen Bender,UAW0265,996 Eileen Ln,329-351-1671,63000,Technician,,Airbus-A350 Airbus-A320,
554-65-4897,Kevin Hammond,UAW0266,980 Glenview Dr,364-901-7041,103000,Pilot,,,Airbus-A330:2018-12-07 Boeing-787:2019-09-28 Airbus-A380:2017-12-04 Airbus-A300:2019-01-22 Boeing-737:2019-07-26 Boeing-747:2020-03-14
142-94-4363,Carl Ray,UAW0267,456 Redbud Ct,441-791-2445,123000,Traffic Controller,2002-10-27,,
208-40-7006,Jack Burnett,UAW0268,240 School House Canyon Rd,498-194-9584,46000,Traffic Controller,2012-08-13,,
614-00-7915,Howard Kirby,UAW0269,537 El Sueno Rd,287-729-7005,93000,Traffic Controller,2015-11-14,,
812-65-0445,Sandra Foster,UAW0270,178 Rockcreek Rd,006-992-1339,94000,Technician,,Boeing-737 Airbus-A320,
272-06-8791,Jason Lynn,UAW0271,768 W Prune Ave,871-954-6321,60000,Technician,,Boeing-787 Airbus-A300 Airbus-A380,
075-83-3357,Joshua Randall,UAW0272,243 Linfield Pl,308-068-5068,91000,Technician,,Boeing-767 Boeing-787 Airbus-A330 Airbus-A320 Boeing-747,
568-83-1187,Dylan Kim,UAW0273,813 Refugio Beach Rd,288-768-1535,119000,Pilot,,,Airbus-A350:2019-12-13 Boeing-737:2019-01-25 Airbus-A320:2019-12-13 Airbus-A300:2020-12-03 Boeing-787:2019-02-13 Boeing-777:2018-10-23 Boeing-767:2019-12-15
064-21-0469,Bobby Miller,UAW0274,426 Manitou Ln,836-452-0668,83000,Technician,,Boeing-737 Airbus-A320,
279-44-8634,Janice Golden,UAW0275,745 Silverado Ave,447-503-8499,100000,Pilot,,,Boeing-777:2019-04-06 Boeing-767:2020-12-07 Airbus-A380:2018-12-28 Boeing-787:2019-10-17 Airbus-A300:2019-10-26 Boeing-747:2018-07-12 Boeing-737:2018-11-08 Airbus-A330:2018-12-21 Airbus-A350:2020-02-03 Airbus-A320:2019-07-11
984-61-9692,Robert Ford,UAW0276,720 San Agustin,324-333-5928,108000,Technician,,Airbus-A330 Boeing-767 Airbus-A350,
588-49-9993,Mark Mayer,UAW0277,537 Prescott Ln,278-608-2018,149000,Pilot,,,Boeing-747:2020-08-09 Boeing-737:2018-01-05 Airbus-A350:2020-06-08 Airbus-A300:2017-01-25 Airbus-A380:2019-03-14 Boeing-787:2019-03-16 Airbus-A320:2017-12-28 Boeing-777:2020-06-01 Airbus-A330:2018-09-12
025-38-4942,Kelly Patterson,UAW0278,301 Newsome St,158-679-8171,60000,Pilot,,,Airbus-A320:2018-02-21 Airbus-A350:2017-01-10
583-44-3368,Gabriel Chan,UAW0279,409 Old Mission Dr,061-448-2642,96000,Technician,,Boeing-787 Boeing-737 Boeing-777,
250-85-6828,Kelly Ibarra,UAW0280,441 San Clemente Ave,133-398-2987,144000,Pilot,,,Boeing-747:2019-10-12 Airbus-A300:2018-12-17 Boeing-767:2018-05-18 Boeing-737:2018-04-16 Boeing-777:2018-06-11 Airbus-A350:2017-04-10 Airbus-A320:2019-12-01 Airbus-A380:2017-12-11 Airbus-A330:2019-01-21
303-55-2640,Ryan Villarreal,UAW0281,302 Monterey Rd,910-946-2144,81000,Technician,,Airbus-A300 Boeing-737 Boeing-747 Airbus-A350,
757-32-5301,Ethan Kelly,UAW0282,794 Palo Verde Rd,135-128-6047,106000,Technician,,Airbus-A330 Boeing-747,
468-80-6563,Mildred Stuart,UAW0283,397 Via Airosa,145-030-5892,88000,Traffic Controller,2008-01-19,,
226-78-5734,Noah Kramer,UAW0284,814 Corta Bella Way,444-750-6834,128000,Technician,,Airbus-A350 Boeing-767 Airbus-A380,
519-06-5642,Benjamin Larson,UAW0285,404 Braeburn Dr,549-348-7579,118000,Traffic Controller,2010-09-21,,
571-88-4751,Aaron Saunders,UAW0286,557 Via Los Santos,637-910-8574,51000,Technician,,Airbus-A300 Boeing-747 Boeing-767 Airbus-A380,
887-37-5280,Alexander Terrell,UAW0287,476 S Smith St,823-804-4369,130000,Technician,,Boeing-737 Airbus-A320 Airbus-A380 Airbus-A350 Boeing-787,
456-02-0550,Billy Moore,UAW0288,102 Palermo Dr,056-939-1178,52000,Traffic Controller,2011-04-06,,
287-48-4569,Debra Dougherty,UAW0289,942 Mclaughlin Rd,187-710-0613,74000,Technician,,Boeing-767 Boeing-737 Airbus-A300 Boeing-747,
490-52-0092,Judith Dyer,UAW0290,753 Edie Ct,087-149-2740,144000,Pilot,,,Airbus-A300:2018-02-25 Airbus-A330:2020-04-08 Boeing-747:2020-11-28
490-85-2816,Edward Cantrell,UAW0291,676 Montez Ct,894-153-4304,139000,Traffic Controller,2003-10-15,,
278-06-4811,Brandon Kennedy,UAW0292,872 Sunflower Ln,154-431-9819,145000,Pilot,,,Boeing-777:2018-03-26 Airbus-A330:2018-06-06 Boeing-747:2017-02-10 Airbus-A380:2020-04-16 Airbus-A350:2019-08-14 Boeing-737:2020-04-15 Airbus-A320:2017-02-14
512-20-3261,Debra Stokes,UAW0293,965 Weldon Rd,761-832-2160,129000,Traffic Controller,2000-08-06,,
734-23-0021,Douglas Guerra,UAW0294,656 Ridge View Rd,922-305-7980,48000,Technician,,Boeing-737 Airbus-A320 Airbus-A300,
444-53-3337,Walter Lang,UAW0295,656 Russell Ave,731-025-7583,68000,Pilot,,,Airbus-A350:2018-09-14 Boeing-767:2017-12-27 Airbus-A330:2018-11-14 Boeing-777:2019-12-20
690-16-1314,Martha Koch,UAW0296,784 Bregante Ln,366-762-9811,87000,Technician,,Boeing-787 Boeing-737,
164-49-1948,Jean Heath,UAW0297,858 Lindero St,088-925-2865,61000,Technician,,Boeing-787 Airbus-A300,
535-85-7550,Sara Moyer,UAW0298,602 Chilmark Ln,620-035-9739,91000,Technician,,Boeing-787,
471-20-8140,Jonathan Michael,UAW0299,315 Mable Ct,679-035-8124,148000,Technician,,Airbus-A300 Airbus-A380 Airbus-A320,
678-60-8095,Kyle Madden,UAW0300,348 Boeseke Pkwy,858-899-4102,143000,Traffic Controller,2002-01-28,,
641-44-1078,Patrick Chen,UAW0301,827 Barcellus Ave,038-417-1297,64000,Technician,,Boeing-737 Boeing-747 Airbus-A330,
941-16-1274,Zachary Shah,UAW0302,562 Casey Ave,196-542-3351,62000,Traffic Controller,2006-09-27,,
922-34-0144,Harold Grimes,UAW0303,314 Rincon Vista Rd,518-724-1266,78000,Pilot,,,Airbus-A320:2020-03-01
626-95-0222,Donald Lynn,UAW0304,301 Las Posas Ave,221-696-6815,119000,Traffic Controller,2002-09-15,,
846-90-9968,Justin Kaufman,UAW0305,396 Rubel Way,162-323-6489,138000,Pilot,,,Airbus-A330:2017-11-21 Airbus-A300:2020-04-12 Airbus-A350:2020-10-26
943-47-3392,Samantha Morrison,UAW0306,818 Albert St,505-837-4800,59000,Pilot,,,Boeing-737:2017-06-03
425-09-4171,Kenneth Allison,UAW0307,648 Vista Oceano Ln,130-799-4829,93000,Traffic Controller,2013-02-27,,
365-17-4898,Donald Kidd,UAW0308,612 St Josephs St,703-641-3623,98000,Technician,,Boeing-737 Airbus-A320,
753-90-6186,Jesse Barnes,UAW0309,608 La Espada Dr,696-778-8940,105000,Technician,,Boeing-737 Airbus-A350 Airbus-A300 Airbus-A330,
115-70-5741,Gerald Mcmillan,UAW0310,735 Parma Rd,397-457-5781,78000,Traffic Controller,2012-03-12,,
773-80-6884,Susan Navarro,UAW0311,268 State Route 144,891-259-6138,130000,Traffic Controller,2013-07-15,,
647-22-0500,Barbara Mccullough,UAW0312,875 San Julian Rd,259-930-9583,58000,Traffic Controller,2014-12-10,,
604-35-4270,Judith Barrett,UAW0313,658 E Las Flores Way,683-992-7383,79000,Pilot,,,Airbus-A300:2019-11-13 Airbus-A380:2020-10-27 Boeing-747:2019-12-09 Boeing-777:2017-08-19
866-18-0886,Keith Montes,UAW0314,386 Fife Pl,343-581-0930,53000,Traffic Controller,2000-10-18,,
029-25-1991,Joyce Bird,UAW0315,620 Wakefield Rd,241-837-3713,85000,Traffic Controller,2004-05-14,,
887-45-1826,Stephanie Gallegos,UAW0316,248 Deerhurst Dr,366-146-8905,74000,Technician,,Airbus-A380,
660-54-7701,Sarah Perez,UAW0317,848 Santa Monica Rd,858-413-3933,136000,Pilot,,,Boeing-737:2020-02-16 Airbus-A380:2017-10-03 Boeing-787:2019-08-06 Boeing-767:2020-03-10 Boeing-777:2017-11-10 Airbus-A330:2017-01-20
173-51-2452,Kenneth Maxwell,UAW0318,412 La Patera Pl,194-592-5970,78000,Technician,,Boeing-777,
773-01-2305,Ryan Lucas,UAW0319,594 Moffett Pl - Santa Barbara Municipal Airport (sba),303-809-9665,91000,Technician,,Boeing-737 Boeing-767 Airbus-A320,
491-58-8939,Jacob Hurley,UAW0320,644 San Leandro Ln,636-282-0647,136000,Pilot,,,Airbus-A300:2017-11-27 Boeing-777:2018-05-19 Airbus-A330:2017-10-03 Boeing-747:2019-01-12 Airbus-A320:2017-05-09 Boeing-767:2018-03-26
793-51-0140,Joyce Fischer,UAW0321,155 Hidden Ln,226-351-7714,70000,Technician,,Boeing-747,
870-09-4082,Marilyn Mcdaniel,UAW0322,608 San Gabriel Ln,167-118-9462,104000,Pilot,,,Airbus-A300:2019-12-20 Airbus-A330:2018-07-07 Boeing-747:2017-06-11 Boeing-767:2018-12-08 Airbus-A380:2020-12-10 Boeing-737:2020-03-19 Airbus-A350:2019-12-24
185-85-2887,Adam Schmitt,UAW0323,143 Old Honda Ridge Rd,178-944-1287,84000,Technician,,Boeing-777 Boeing-747 Airbus-A330 Boeing-737,
393-95-0527,Katherine Rogers,UAW0324,199 Ridge Rd,371-062-5919,64000,Traffic Controller,2008-07-20,,
285-35-1487,Debra Orr,UAW0325,165 Jupiter Ave,381-382-2638,139000,Pilot,,,Airbus-A300:2017-12-16 Airbus-A330:2017-04-06 Boeing-767:2018-03-20 Airbus-A350:2018-07-26 Boeing-737:2018-12-15 Boeing-777:2018-02-21 Airbus-A380:2020-09-05
791-92-3291,Keith Humphrey,UAW0326,580 N L St,563-237-0040,51000,Traffic Controller,2005-03-25,,
870-49-5904,Bryan Jimenez,UAW0327,758 Harrison Dr,106-999-3733,114000,Technician,,Boeing-737 Airbus-A380 Boeing-787 Boeing-747 Airbus-A300,
728-23-5396,Joseph Farley,UAW0328,327 Seaview Dr,094-081-8404,109000,Traffic Controller,2005-08-03,,
206-96-0769,Helen Hull,UAW0329,350 Galaxy Way,375-796-5950,51000,Traffic Controller,2012-09-27,,
440-37-2622,Deborah Maldonado,UAW0330,627 Cachuma Creek,854-741-1901,70000,Technician,,Airbus-A380 Airbus-A350 Boeing-787,
957-73-7282,Willie Glass,UAW0331,793 La Cumbre Cir,231-644-8590,66000,Pilot,,,Boeing-777:2018-04-11 Boeing-767:2018-04-05 Boeing-787:2017-07-17 Airbus-A350:2019-11-06 Boeing-747:2018-03-12 Boeing-737:2017-01-06
809-82-9246,Teresa Esparza,UAW0332,408 Via Lucero,936-592-4864,85000,Traffic Controller,2005-10-10,,
430-17-9375,Danielle Villegas,UAW0333,850 Painted Cave Rd - Los Padres National Forest,492-611-4708,135000,Traffic Controller,2016-05-23,,
707-12-5231,Howard Hester,UAW0334,118 San Lino Ct,355-750-6468,133000,Technician,,Boeing-787 Boeing-737 Airbus-A380,
132-28-4931,Stephanie Rhodes,UAW0335,805 W Alvin Ave,754-588-7128,129000,Pilot,,,Airbus-A330:2019-07-25 Airbus-A300:2020-12-24 Boeing-767:2019-09-04
