flight_no,src,dest,arrival,depart,pilot
WK7597,LGF,RBY,2010-07-09 23:57:02,2010-07-09 20:19:18,716-51-9808
YV66404,VLA,SMO,2016-04-12 21:07:45,2016-04-12 16:27:07,144-58-1040
RI43565,LOU,STG,2009-11-22 01:26:01,2009-11-21 23:58:50,705-16-5616
GM39599,LBE,DBS,2013-08-04 03:10:01,2013-08-03 21:21:46,568-83-1187
WZ75067,IAD,RCK,2014-07-20 03:19:35,2014-07-20 01:16:01,056-86-0607
SV80536,CSE,MXY,2009-09-09 00:42:50,2009-09-08 20:05:56,333-29-5610
SV98800,WGO,OPL,2010-07-17 11:41:49,2010-07-17 04:43:10,957-73-7282
TV83747,PFA,MCC,2008-04-14 15:46:23,2008-04-14 13:14:40,279-44-8634
IO2454,BUR,HNB,2009-03-11 06:11:43,2009-03-11 03:11:59,644-26-1154
LQ29294,MCK,MGY,2015-09-06 22:15:32,2015-09-06 15:51:54,412-42-7397
KA59992,ORL,WBN,2013-02-19 16:21:30,2013-02-19 09:24:12,261-97-6964
PT35739,UES,AYE,2012-09-23 12:58:23,2012-09-23 10:15:22,815-54-7696
YB24415,AXG,NKX,2009-12-12 17:14:31,2009-12-12 14:11:21,017-71-7409
VF16668,AYS,RAL,2016-09-19 18:15:44,2016-09-19 12:39:53,601-56-7161
HZ87438,EKN,IAD,2009-02-08 14:21:50,2009-02-08 07:45:54,642-95-1284
IZ46775,MHE,LDJ,2011-12-03 08:06:38,2011-12-03 01:32:39,822-08-8291
RK83432,KTB,ERI,2012-09-18 15:05:42,2012-09-18 12:44:32,592-61-7492
KE69204,CPS,LSN,2008-12-05 19:04:19,2008-12-05 15:40:07,744-37-3489
OT4659,SFR,KVL,2011-11-20 22:50:14,2011-11-20 19:24:45,661-82-5763
PS8806,BIS,HRL,2010-04-13 08:35:06,2010-04-13 07:01:56,250-85-6828
ZP34471,DCA,GBG,2011-08-30 04:35:27,2011-08-30 00:40:05,118-62-8123
EC17107,RHI,NCQ,2013-08-27 03:02:43,2013-08-26 21:29:03,846-90-9968
NH29032,KFP,SOP,2010-07-08 15:34:59,2010-07-08 13:45:14,987-95-1538
UU25859,XMD,PTT,2011-08-24 16:28:22,2011-08-24 09:59:41,025-38-4942
ZL75446,LOT,VGT,2012-04-28 12:13:01,2012-04-28 06:38:11,660-54-7701
CB56470,DKK,PGV,2015-09-21 06:47:33,2015-09-21 02:12:55,694-40-7228
ZX57891,PSM,SQV,2014-03-22 21:51:30,2014-03-22 20:00:44,871-90-8968
EF92022,BKE,WRL,2012-07-16 07:09:24,2012-07-16 04:56:00,605-79-0530
CF56293,BIE,SBO,2015-08-08 00:29:30,2015-08-07 20:19:43,162-92-6896
SU8776,BMX,KNK,2011-08-23 06:56:22,2011-08-23 02:52:23,061-53-2624
QE35899,SDP,FID,2015-06-01 04:45:39,2015-05-31 23:18:57,420-95-5680
DV45179,ELK,GUC,2015-10-25 14:40:07,2015-10-25 09:58:56,641-64-4826
VK84505,RBN,FAL,2010-06-21 13:34:47,2010-06-21 10:37:25,943-47-3392
BJ29466,BJC,WDB,2015-10-30 20:47:32,2015-10-30 18:55:40,056-80-0641
KU30708,WWS,FCS,2013-06-02 04:47:58,2013-06-02 02:25:06,490-52-0092
JD69159,MBL,FSM,2015-08-01 15:31:48,2015-08-01 12:35:18,136-44-7802
JX2727,MOU,CID,2009-03-28 04:37:41,2009-03-27 22:27:04,872-81-0834
JU72900,SYV,CIG,2009-07-17 08:10:14,2009-07-17 03:12:10,847-77-3091
WA77936,OCW,BKH,2016-04-17 16:55:23,2016-04-17 12:39:26,012-15-8995
JM47946,TSM,GGE,2012-08-01 15:28:36,2012-08-01 11:23:55,413-67-1601
TL80146,JMD,SLQ,2015-02-07 09:49:26,2015-02-07 08:20:10,897-49-1333
CK52884,VGT,BFT,2010-03-27 14:53:04,2010-03-27 13:52:42,760-42-3923
FG89381,FDR,HIE,2014-11-30 15:12:18,2014-11-30 12:44:20,834-05-7627
VK87384,GCK,ACK,2013-08-23 20:15:18,2013-08-23 15:46:24,166-45-2665
WD82690,LCK,FSK,2011-03-19 01:49:51,2011-03-18 22:22:37,194-78-4637
WF30325,TCS,SGH,2014-05-30 14:37:03,2014-05-30 12:38:24,459-28-1225
UT6720,RCR,BJJ,2013-04-28 02:10:22,2013-04-27 23:17:15,433-31-8072
MW26585,HII,CKU,2012-09-25 18:50:24,2012-09-25 12:20:58,558-14-9443
OP68031,BIX,POB,2010-08-15 04:10:32,2010-08-15 02:12:52,571-52-3241
CV87280,PCD,DGL,2008-07-16 15:21:08,2008-07-16 09:23:41,029-36-8655
TA86854,RKH,BLU,2012-08-19 17:40:02,2012-08-19 10:47:05,944-29-9044
AM70188,IKO,COD,2014-08-23 00:47:29,2014-08-22 20:09:26,605-79-0530
YA99062,FLO,APA,2011-02-26 13:50:00,2011-02-26 11:57:13,800-39-2298
BZ69632,EUE,ADM,2008-05-24 00:25:20,2008-05-23 22:39:14,533-43-9376
LS34543,GMT,GGG,2012-04-19 22:03:02,2012-04-19 19:10:04,551-13-4065
VD3737,MUU,CVG,2015-11-21 12:40:16,2015-11-21 09:03:04,652-68-4697
AB81320,WMK,ASL,2011-11-01 17:16:52,2011-11-01 11:30:23,513-33-5040
BT98754,MLJ,CBF,2015-02-08 12:43:24,2015-02-08 10:03:25,144-58-1040
HN8544,LRF,NVD,2012-06-14 12:32:35,2012-06-14 10:02:34,380-27-2055
HI17552,NPH,MIE,2016-07-29 01:49:28,2016-07-28 23:34:36,856-68-7305
UF49060,ENN,NBU,2011-04-03 19:22:37,2011-04-03 13:57:22,162-92-6896
XB22911,KPR,OMA,2015-02-12 03:06:42,2015-02-11 20:31:55,384-83-9932
ZY26200,GNT,SJN,2016-10-04 16:06:39,2016-10-04 09:12:59,010-68-1265
UG3507,TWE,CIR,2009-11-02 10:30:36,2009-11-02 04:51:56,351-73-1830
ZQ70444,OTS,ESF,2010-11-17 16:56:38,2010-11-17 10:36:11,491-61-7907
MA30289,GTY,SRQ,2011-07-29 12:59:43,2011-07-29 07:14:35,694-40-7228
HL45509,EDW,LNA,2009-12-22 10:46:35,2009-12-22 05:39:53,247-84-4454
VI98470,FPY,AHH,2011-04-17 03:14:27,2011-04-17 01:37:19,775-51-1864
MY54772,CIV,BWI,2008-10-06 21:28:07,2008-10-06 18:59:16,265-27-1788
GR97270,FBG,TYS,2013-11-27 03:09:12,2013-11-27 00:04:35,317-92-2083
YS9606,SPI,OVE,2008-11-12 21:27:43,2008-11-12 20:14:46,247-84-4454
DW32747,CLC,MMI,2014-09-05 23:01:55,2014-09-05 17:06:46,364-88-7233
SM80336,BEH,MXO,2009-07-27 20:30:19,2009-07-27 17:37:03,944-29-9044
DT36412,KEK,DRO,2015-11-06 04:31:32,2015-11-05 23:50:47,578-91-1237
NM91795,BFP,OTG,2008-11-25 22:28:00,2008-11-25 18:54:01,339-83-7072
VT88898,LRJ,KCC,2012-03-08 11:05:36,2012-03-08 04:49:07,815-54-7696
KH12588,HRO,PTL,2015-11-26 04:58:06,2015-11-25 23:15:07,716-51-9808
AA46200,ALB,DMO,2014-07-12 20:34:46,2014-07-12 18:15:45,010-68-1265
SG2793,FDY,GTR,2014-01-31 15:00:45,2014-01-31 11:42:56,571-52-3241
PB20394,CUW,AHC,2013-07-02 00:03:03,2013-07-01 20:07:39,938-12-3285
QL39466,BET,YIP,2008-04-23 15:04:32,2008-04-23 09:28:49,800-39-2298
TW91080,PFD,CAD,2009-04-20 05:41:52,2009-04-19 23:03:19,424-15-2508
MP9196,SKA,RST,2014-09-04 22:15:38,2014-09-04 20:56:32,661-82-5763
HE1776,SGF,RUI,2015-07-08 14:45:03,2015-07-08 08:40:29,511-53-0975
GN13336,COD,BWD,2016-06-24 15:20:36,2016-06-24 13:34:23,278-06-4811
AV93812,JNP,UPP,2013-06-02 18:39:32,2013-06-02 15:45:20,916-57-0475
QI30172,JGC,NSE,2011-09-18 02:13:52,2011-09-17 22:08:53,178-82-6401
GR16721,LFT,WKK,2014-08-05 01:47:22,2014-08-04 22:51:36,148-21-9702
RH3157,MXG,HIE,2014-12-09 14:39:33,2014-12-09 12:01:58,444-53-3337
NS68630,MHS,HED,2016-10-18 04:23:59,2016-10-18 03:04:56,265-27-1788
HI19076,MFI,CNE,2016-03-23 12:51:41,2016-03-23 10:17:01,333-29-5610
BI10545,AQY,PIR,2014-12-20 01:25:08,2014-12-19 23:47:22,694-40-7228
IK15573,JUP,BWC,2013-09-24 20:30:06,2013-09-24 13:59:33,566-57-5659
GD15415,NBG,GOL,2014-05-04 10:50:02,2014-05-04 05:29:19,260-96-4710
BE48045,BBW,VNC,2015-03-16 23:09:57,2015-03-16 16:10:37,339-87-5585
SL84566,CGZ,JGL,2015-04-15 11:52:16,2015-04-15 07:41:37,413-78-2890
TC37599,DUC,KZB,2016-01-12 20:50:11,2016-01-12 18:40:40,958-55-6714
QL94192,DUF,CKK,2010-09-16 21:50:56,2010-09-16 16:07:40,248-75-1432
FU97327,JHC,LNK,2009-08-01 16:13:46,2009-08-01 13:30:29,132-28-4931
WO5712,SBA,MQW,2011-11-05 14:45:14,2011-11-05 11:58:26,085-65-5645
SB54918,VGT,ENV,2016-12-20 12:40:34,2016-12-20 07:45:13,075-38-5584
ZE32322,INR,PWA,2011-01-03 15:32:58,2011-01-03 14:29:14,025-03-4257
FO79095,ETS,MNT,2008-02-18 21:53:06,2008-02-18 20:30:32,598-78-7089
QH9781,BMX,DXR,2013-07-16 09:01:42,2013-07-16 04:05:08,145-74-2677
WQ63985,FSK,MOD,2015-03-03 16:55:50,2015-03-03 14:25:53,223-36-1674
NN54801,HES,AXB,2010-09-08 21:56:23,2010-09-08 20:40:54,968-75-5960
EW47402,COI,FCA,2015-11-13 15:05:51,2015-11-13 13:52:59,194-78-4637
XE51330,EIL,HVN,2016-12-25 23:58:32,2016-12-25 21:48:16,039-90-7619
TY65644,EMK,SAD,2009-07-14 23:57:23,2009-07-14 21:05:42,968-75-5960
OM38769,OLM,WLN,2010-01-19 18:31:03,2010-01-19 17:23:07,339-83-7072
EE9868,MFI,HOU,2010-06-24 01:19:16,2010-06-23 19:24:04,338-83-6303
KS44720,LGB,EIL,2014-04-04 15:22:31,2014-04-04 13:09:53,053-84-6958
VK47096,BBD,DGW,2009-01-13 02:41:51,2009-01-12 20:35:59,765-73-9956
JK72603,SWO,LQK,2015-01-18 17:08:15,2015-01-18 11:34:18,056-80-0641
NX59467,SVN,LIZ,2011-02-15 13:14:29,2011-02-15 11:47:22,600-20-1530
LU49099,VSF,RZZ,2011-02-08 20:37:45,2011-02-08 18:05:04,537-07-3036
DZ9281,FST,SBP,2008-03-14 12:51:43,2008-03-14 07:46:03,492-79-2478
HF22979,WKL,LGD,2008-07-26 06:52:55,2008-07-26 03:45:13,647-54-5755
KF91717,UCE,KOY,2011-02-02 12:36:18,2011-02-02 11:04:59,338-83-6303
QD25609,TKJ,LND,2010-10-16 23:45:20,2010-10-16 20:30:32,285-35-1487
VM29647,RMC,ABE,2012-09-17 22:30:54,2012-09-17 17:44:16,499-82-9898
DK98969,KSM,GLH,2014-11-09 13:03:27,2014-11-09 10:18:39,948-10-3661
SU57154,ONH,OAK,2008-08-22 19:54:07,2008-08-22 15:54:50,971-66-6286
MK14946,APC,NKX,2015-03-08 00:46:18,2015-03-07 22:33:21,720-71-5697
VQ83186,MLF,SZN,2015-09-19 07:37:52,2015-09-19 01:18:35,951-38-0306
YO82310,CLC,KIC,2012-06-03 06:45:12,2012-06-03 01:56:39,505-52-6084
VS79605,EKI,PEQ,2015-09-14 09:21:48,2015-09-14 04:57:12,957-73-7282
SR46488,GKT,VRS,2010-12-08 14:56:37,2010-12-08 10:53:49,248-50-8554
BX69248,FPR,PSX,2009-05-21 23:40:49,2009-05-21 18:02:21,957-35-2667
QK47115,CPR,AVW,2013-02-23 05:17:32,2013-02-23 01:29:40,180-43-3770
US62968,HTS,MOS,2013-04-27 10:19:33,2013-04-27 03:39:08,315-89-8693
VE98886,TKL,DOV,2010-03-28 17:36:07,2010-03-28 12:11:35,370-87-4189
IS72066,MXF,WSG,2011-01-23 06:57:27,2011-01-23 02:12:50,647-54-5755
GV44887,LUL,JCE,2012-08-18 08:36:40,2012-08-18 05:01:19,642-95-1284
KN3850,MCC,MHS,2014-09-21 17:07:57,2014-09-21 15:50:58,441-57-0428
TI40819,OCN,POC,2010-04-06 09:43:23,2010-04-06 08:40:13,863-12-2025
KM84639,PTL,JGL,2010-04-28 08:27:55,2010-04-28 05:26:39,616-94-7372
AC96197,MFH,AUK,2008-07-30 17:26:44,2008-07-30 10:52:28,307-18-4553
XL10008,ROL,HUF,2008-01-13 08:22:49,2008-01-13 02:17:39,318-42-3147
OH49968,BCE,CRX,2013-12-27 03:28:47,2013-12-27 00:16:58,374-96-3918
MU4738,MPZ,LWT,2011-07-13 05:31:37,2011-07-13 03:02:15,145-96-7331
XV45047,EOS,IWS,2008-05-24 03:17:24,2008-05-24 01:29:41,511-53-0975
SV85538,ONM,NEW,2012-03-10 18:41:24,2012-03-10 16:12:53,480-29-0590
IJ37807,DWF,WOD,2013-06-02 16:09:04,2013-06-02 14:49:07,525-97-9080
WU92677,PIM,BKW,2008-07-10 10:33:42,2008-07-10 04:49:40,958-78-2153
UB52383,CRG,GDC,2014-08-08 08:12:18,2014-08-08 01:14:45,462-66-7935
FW73904,LRU,QMV,2012-01-16 00:35:49,2012-01-15 23:10:16,244-06-3853
TR64090,CHI,BGD,2015-08-26 17:21:24,2015-08-26 15:38:26,513-33-5040
PB62411,BET,BIE,2012-12-22 22:11:41,2012-12-22 15:38:08,879-13-5357
QG10086,LTS,EEK,2009-03-22 08:07:43,2009-03-22 06:58:06,025-03-4257
PB36917,AUS,NUL,2010-07-29 11:48:16,2010-07-29 09:36:27,744-70-0676
AW31145,PTH,DLO,2012-05-09 00:01:25,2012-05-08 22:26:30,092-17-5644
AH45152,MUE,CKU,2013-10-27 19:56:05,2013-10-27 15:15:13,067-11-6927
YF82974,ADS,FYU,2011-07-01 04:16:39,2011-07-01 03:02:12,259-40-7962
YT33174,MQI,KQA,2013-01-14 06:30:44,2013-01-14 03:20:36,786-87-9934
VM86367,DVN,JDY,2011-01-10 05:36:14,2011-01-10 00:00:29,459-28-1225
MU37952,BPI,UIN,2011-03-12 00:42:23,2011-03-11 22:35:42,326-04-8538
JF61545,SWF,BYH,2012-06-06 22:57:24,2012-06-06 20:43:33,513-72-3706
DW57698,VKS,WWS,2009-05-17 22:15:23,2009-05-17 21:01:33,951-38-0306
RN68615,ZPH,HIK,2011-02-21 03:40:10,2011-02-21 02:17:44,316-00-0978
QB20597,GWS,JCY,2014-01-03 05:24:02,2014-01-03 03:59:12,318-42-3147
UN98517,BXS,BRW,2008-08-11 21:16:18,2008-08-11 17:02:10,440-55-1732
JU24776,BOI,SRU,2008-09-27 02:57:43,2008-09-26 20:06:12,145-13-1877
OX51516,WRG,WST,2008-02-17 12:01:02,2008-02-17 09:52:40,705-36-9158
MU56792,DVT,MKT,2014-06-19 17:48:16,2014-06-19 15:43:06,709-73-8605
GO20005,SMK,THP,2008-02-19 06:47:16,2008-02-19 00:53:52,424-15-2508
SK79894,BFI,QMV,2012-10-14 04:29:22,2012-10-14 01:16:05,564-89-7212
SM23493,CRG,WEA,2016-05-22 14:40:56,2016-05-22 09:02:11,230-67-1711
XH74482,SLB,PYM,2010-06-04 06:53:40,2010-06-04 00:31:10,328-36-4444
EJ84198,WCR,REE,2016-12-27 17:59:20,2016-12-27 15:22:42,219-82-8417
NF82475,ETS,ESN,2011-01-17 21:06:22,2011-01-17 16:29:35,672-57-1866
HU38461,SGT,TWA,2011-12-30 21:25:14,2011-12-30 16:30:20,491-58-8939
MU71357,PVZ,TTO,2014-10-20 22:14:00,2014-10-20 20:37:19,818-05-8488
HM92046,CEF,APG,2014-06-09 04:21:45,2014-06-09 01:40:59,301-36-1229
SX30504,BWM,TKJ,2013-10-01 09:54:52,2013-10-01 06:18:52,050-52-9541
YK3151,JHY,RKR,2009-03-20 21:22:43,2009-03-20 20:01:36,132-28-4931
UI67654,WDG,SAT,2015-07-07 04:49:16,2015-07-07 00:03:47,241-38-8590
KZ20666,LEB,BWS,2011-02-06 10:11:28,2011-02-06 04:42:09,564-80-6789
AU78834,DHT,IRS,2016-10-11 11:07:05,2016-10-11 08:00:26,260-96-4710
XT65743,CPR,TPA,2014-05-02 19:39:12,2014-05-02 15:36:53,192-15-0200
SC49933,MYR,AUO,2016-09-22 01:55:31,2016-09-21 22:06:33,192-15-0200
BQ32938,BGM,HBR,2012-11-03 18:21:29,2012-11-03 14:05:39,592-61-7492
NH9598,KQA,GNV,2016-12-12 03:00:48,2016-12-12 01:36:02,616-94-7372
ZS7625,SLG,PGA,2016-12-04 03:43:11,2016-12-03 23:18:27,511-53-0975
JJ97315,LGF,CDB,2013-09-06 06:37:58,2013-09-06 03:46:55,958-55-6714
RE80375,VYS,AUN,2014-06-02 09:20:09,2014-06-02 06:28:02,819-72-4018
SA43919,SBA,ORD,2008-08-23 09:11:02,2008-08-23 06:51:07,247-84-4454
MI43505,NNK,WMO,2013-06-14 22:08:21,2013-06-14 16:37:42,413-78-2890
PR87980,TYS,DRI,2009-04-01 06:06:10,2009-03-31 23:16:04,876-30-0174
FI47865,KGZ,PPF,2012-05-03 15:51:31,2012-05-03 11:04:01,765-73-9956
UW29200,INT,IYK,2014-11-11 08:31:17,2014-11-11 04:44:54,259-40-7962
DO97762,CWO,ABQ,2011-05-11 08:14:27,2011-05-11 03:08:34,811-19-1292
QT29272,NDP,IND,2012-01-29 03:17:57,2012-01-28 22:06:56,782-18-9509
TW93820,GDW,OMA,2015-05-25 17:49:33,2015-05-25 16:28:26,413-67-1601
VO49140,MMS,JAX,2011-12-10 00:25:45,2011-12-09 19:17:22,886-23-5549
VI41134,BDE,SOW,2012-08-31 13:35:14,2012-08-31 11:03:00,955-39-6627
PV81963,CRW,OBE,2010-05-27 20:04:05,2010-05-27 15:56:34,194-78-4637
TE54103,ARA,CHU,2011-10-16 19:58:06,2011-10-16 18:16:05,566-57-5659
KF73344,EAR,WSG,2010-09-29 08:58:39,2010-09-29 04:49:08,712-72-4997
AA3842,NJK,DTL,2011-03-13 03:39:50,2011-03-12 22:52:22,672-57-1866
CW60706,BVD,ADG,2014-10-23 09:01:47,2014-10-23 04:21:01,555-75-7288
OI42557,CDR,LMA,2009-04-16 00:06:24,2009-04-15 19:30:47,261-97-6964
AX57209,BWS,WSD,2012-07-07 20:30:55,2012-07-07 16:04:09,592-61-7492
GO63430,AXS,RIV,2009-04-27 05:48:37,2009-04-26 23:17:47,366-20-0523
EP54257,ADM,MGM,2010-05-01 05:32:23,2010-05-01 00:37:28,766-92-4238
FQ91333,JRC,FID,2009-12-15 22:02:38,2009-12-15 19:48:29,857-94-0931
XH64072,MMI,DTW,2013-10-12 22:23:52,2013-10-12 21:06:11,124-50-7920
OL57324,GRR,MUU,2015-02-25 20:25:46,2015-02-25 14:46:17,499-82-9898
QU47464,RMP,SCB,2016-02-20 00:27:22,2016-02-19 18:52:34,017-25-0478
UK29579,JMH,LAM,2014-04-10 02:08:15,2014-04-09 23:19:22,958-55-6714
RP62172,WOO,ELY,2010-09-28 22:08:11,2010-09-28 15:47:32,375-03-5185
JT59289,EAA,OUN,2014-12-17 05:11:01,2014-12-17 01:22:00,870-09-4082
BW85685,LWS,JDN,2011-01-16 14:12:14,2011-01-16 09:47:41,588-93-7376
DS55952,BIS,MVY,2016-12-27 14:55:45,2016-12-27 09:27:39,588-49-9993
XY31110,FWH,JBK,2012-09-26 00:33:47,2012-09-25 22:16:33,703-14-1793
SV32236,OCH,NPA,2015-03-08 05:25:55,2015-03-08 03:05:50,492-79-2478
EW36660,SBN,SWW,2010-10-29 01:39:28,2010-10-28 21:16:15,209-03-4405
SA98352,GNT,APG,2014-04-30 02:31:48,2014-04-29 21:03:57,145-13-1877
HR6025,TOI,HAI,2010-10-26 23:59:25,2010-10-26 19:21:41,490-52-0092
UH89148,ARA,NAB,2008-11-23 04:00:23,2008-11-23 02:49:44,480-29-0590
ZV47149,IMT,WRB,2014-10-05 13:12:22,2014-10-05 06:32:44,984-17-7619
MX93774,OTS,JMC,2009-09-24 23:43:34,2009-09-24 21:51:59,583-32-3128
CN50952,HWI,PGA,2010-07-08 10:50:03,2010-07-08 06:49:11,817-44-4592
XB13355,GSH,MNT,2016-03-29 15:18:15,2016-03-29 12:19:16,825-14-3933
SU10653,HGT,LFK,2011-04-29 11:55:56,2011-04-29 06:27:45,421-13-5349
NS70294,RBL,BTV,2016-06-15 19:47:12,2016-06-15 12:55:41,260-96-4710
VL78679,LAR,SPA,2012-03-31 11:30:40,2012-03-31 10:28:32,864-33-7156
ZI48471,MKO,AMW,2010-10-07 20:41:19,2010-10-07 18:22:05,744-70-0676
WJ50729,ADK,XMD,2011-01-07 02:00:45,2011-01-07 00:22:32,906-56-8783
DJ87670,ARG,ONY,2008-05-15 22:38:38,2008-05-15 19:39:39,803-00-4554
SI96721,TRT,WST,2015-09-03 15:19:37,2015-09-03 10:06:40,817-44-4592
QI94764,PKB,RCT,2008-08-08 08:18:55,2008-08-08 04:05:49,364-78-7137
ZT52784,GGE,BNO,2010-01-02 12:22:14,2010-01-02 09:44:02,173-60-1644
TY34254,LUP,BIC,2015-02-15 14:18:31,2015-02-15 13:10:42,073-37-6316
TK19358,JVL,ITH,2013-05-02 16:35:15,2013-05-02 10:44:50,278-28-3161
AF74237,SNL,CEX,2016-02-05 10:41:59,2016-02-05 09:19:34,906-56-8783
HT79381,HUL,MVN,2012-06-20 08:06:38,2012-06-20 05:42:07,384-83-9932
KP32438,NKX,LFK,2008-06-08 10:48:12,2008-06-08 04:53:58,511-53-0975
SQ8867,RSL,MQI,2015-12-13 08:02:02,2015-12-13 01:22:31,513-72-3706
KP54876,HUS,JHW,2016-07-14 23:20:14,2016-07-14 18:54:42,293-78-1980
WC42320,CRT,GSO,2016-05-26 18:58:49,2016-05-26 16:43:45,017-25-0478
SY5745,ABI,GRI,2012-03-01 20:57:01,2012-03-01 15:29:37,554-65-4897
AT9135,AFN,BOW,2014-06-11 08:10:19,2014-06-11 04:11:28,857-94-0931
MG38229,MVC,COF,2015-09-06 09:10:16,2015-09-06 02:10:22,373-39-6461
ON21018,SUS,SLK,2009-04-14 23:37:49,2009-04-14 18:04:04,318-42-3147
TG73537,DUG,NHX,2014-09-05 09:09:27,2014-09-05 05:08:03,010-68-1265
UH12635,GFL,SAS,2013-07-24 02:05:35,2013-07-23 22:50:01,000-45-0482
YI82941,LOZ,AND,2008-06-10 15:58:20,2008-06-10 09:21:57,811-19-1292
NH37979,NOT,FRD,2009-04-16 06:04:50,2009-04-16 04:28:04,231-80-3440
QA26669,CDK,ONO,2009-07-25 17:34:49,2009-07-25 13:30:25,056-86-0607
ZN61920,UST,LKE,2014-04-18 15:05:45,2014-04-18 12:11:37,000-45-0482
RZ61759,HLB,LGF,2010-03-13 17:46:36,2010-03-13 13:39:43,364-88-7233
GV59374,NPA,MSO,2013-06-18 23:54:51,2013-06-18 20:17:32,876-30-0174
IY4107,BIE,AAF,2012-12-09 23:44:17,2012-12-09 18:44:28,871-90-8968
CA39545,KUK,BIF,2011-02-12 10:07:54,2011-02-12 07:10:20,540-42-7099
QL79272,INT,CVG,2014-10-03 09:22:11,2014-10-03 05:40:29,491-61-7907
SV48449,BTL,MRK,2015-02-25 15:12:35,2015-02-25 10:09:14,141-89-3049
IO88011,BFK,THM,2013-11-22 13:54:34,2013-11-22 09:09:33,864-89-9533
EF15244,HIE,WLB,2012-09-13 09:49:34,2012-09-13 03:42:22,050-13-8813
CZ35246,KPY,KWT,2014-05-17 18:39:41,2014-05-17 15:09:05,351-73-1830
GV24536,OBT,ISM,2012-03-21 23:31:19,2012-03-21 21:36:33,481-64-7023
RK82124,FEW,GLH,2012-07-22 01:54:26,2012-07-21 21:46:52,073-37-6316
WC69625,BBF,CKU,2008-01-28 13:52:46,2008-01-28 09:12:45,592-61-7492
PG36789,AKP,POE,2015-04-03 02:12:31,2015-04-02 20:25:39,874-33-2718
SU89125,NUW,MVE,2010-01-08 21:59:46,2010-01-08 20:01:51,136-44-7802
AC76498,LMT,LAX,2015-11-19 07:25:28,2015-11-19 04:15:07,551-13-4065
LK39223,LAX,HWI,2016-04-09 14:51:07,2016-04-09 10:11:34,384-83-9932
MS27078,GDC,TGE,2008-01-28 15:02:05,2008-01-28 11:28:00,085-65-5645
HE39991,CHZ,SRW,2015-04-18 03:39:52,2015-04-17 20:55:58,105-71-4080
HE65744,JAJ,EVW,2016-07-27 22:12:10,2016-07-27 17:07:21,375-03-5185
KB86943,AUZ,KKB,2012-06-10 17:09:52,2012-06-10 13:19:29,089-35-6342
SB5185,EFB,FNT,2009-02-22 19:33:20,2009-02-22 13:08:27,659-07-1041
JO4646,CLP,MDA,2008-08-24 11:25:15,2008-08-24 04:47:17,290-55-8534
CW85379,FRR,DEH,2016-09-03 03:08:45,2016-09-03 01:06:11,208-71-2004
WC26495,SLQ,WRI,2014-05-19 04:50:42,2014-05-19 02:38:03,276-56-0882
UH46295,AED,GFB,2012-10-03 07:40:49,2012-10-03 02:06:27,339-83-7072
BC64816,RSW,NZY,2015-01-01 11:14:31,2015-01-01 06:40:48,786-87-9934
XS84330,MDW,MXG,2013-06-05 13:58:45,2013-06-05 06:59:37,775-51-1864
YK4708,HBR,CNM,2009-03-12 19:55:40,2009-03-12 18:43:34,694-40-7228
LY84853,CVR,JAX,2013-04-03 19:03:29,2013-04-03 13:16:07,775-51-1864
CJ62474,MHT,BSI,2009-06-16 07:10:55,2009-06-16 04:18:12,136-44-7802
JX89721,CZZ,VRS,2014-03-22 00:02:28,2014-03-21 20:16:18,525-97-9080
KZ42513,SVH,BFB,2016-02-21 12:07:01,2016-02-21 08:13:12,601-56-7161
XV65175,RIV,OBT,2008-01-28 10:37:31,2008-01-28 04:28:38,511-53-0975
RU80287,BNF,DLH,2014-04-01 19:28:29,2014-04-01 13:07:49,227-75-8212
JM54808,UES,SEG,2012-08-13 12:29:58,2012-08-13 07:12:05,328-60-2063
IB20819,RBF,FOD,2014-10-09 04:39:26,2014-10-09 02:55:44,511-53-0975
JZ26258,AIY,FMC,2012-08-02 00:04:06,2012-08-01 21:30:43,916-57-0475
UR55363,KLL,SLT,2014-09-21 14:41:41,2014-09-21 07:42:23,775-51-1864
GD93186,AYZ,LVK,2008-07-19 14:21:55,2008-07-19 12:03:55,364-78-7137
YF32929,CCA,NEA,2009-05-25 03:02:17,2009-05-25 00:35:23,938-12-3285
QY62021,HDE,MBL,2011-12-27 20:11:09,2011-12-27 13:49:27,819-72-4018
US47008,PMU,CHS,2015-01-21 21:12:53,2015-01-21 16:00:06,476-68-9353
ZV65648,MSS,MPE,2015-06-30 05:39:05,2015-06-29 23:40:05,322-87-0151
JB51421,DIO,SGT,2011-05-05 23:33:35,2011-05-05 18:38:23,424-15-2508
KS14018,HIF,PVY,2008-05-12 21:30:23,2008-05-12 18:32:24,209-03-4405
CI57916,EKI,VAK,2013-07-27 11:56:20,2013-07-27 07:52:59,874-33-2718
HV2843,ISN,GGG,2011-01-17 03:41:50,2011-01-16 20:49:38,801-36-8342
BY83605,UCA,OJC,2008-02-06 12:36:55,2008-02-06 07:51:28,951-38-0306
JW42694,RZZ,MCB,2013-12-19 10:52:09,2013-12-19 03:56:40,462-66-7935
TN43980,JAN,EVM,2014-09-12 17:52:40,2014-09-12 14:55:26,553-61-7445
DA31311,TNT,KTN,2016-11-06 02:34:05,2016-11-05 20:42:42,616-94-7372
GP56701,MLU,EGX,2008-03-27 06:39:40,2008-03-27 01:45:39,261-60-4943
